a_blocks	b_blocks	shared_blocks	ncases_A	ncontrols_A	ncases_B	ncontrols_B	tag_A	tag_B	seed
s400	s400	s0	500	10000	500	10000	1	2	1
s400	s400	s0	500	10000	500	10000	3	4	2
s400	s400	s0	500	10000	500	10000	5	6	3
s400	s400	s0	500	10000	500	10000	7	8	4
s400	s400	s0	500	10000	500	10000	9	10	5
s400	s400	s0	500	10000	500	10000	11	12	6
s400	s400	s0	500	10000	500	10000	13	14	7
s400	s400	s0	500	10000	500	10000	15	16	8
s400	s400	s0	500	10000	500	10000	17	18	9
s400	s400	s0	500	10000	500	10000	19	20	10
s400	s400	s0	500	10000	500	10000	21	22	11
s400	s400	s0	500	10000	500	10000	23	24	12
s400	s400	s0	500	10000	500	10000	25	26	13
s400	s400	s0	500	10000	500	10000	27	28	14
s400	s400	s0	500	10000	500	10000	29	30	15
s400	s400	s0	500	10000	500	10000	31	32	16
s400	s400	s0	500	10000	500	10000	33	34	17
s400	s400	s0	500	10000	500	10000	35	36	18
s400	s400	s0	500	10000	500	10000	37	38	19
s400	s400	s0	500	10000	500	10000	39	40	20
s400	s400	s0	500	10000	500	10000	41	42	21
s400	s400	s0	500	10000	500	10000	43	44	22
s400	s400	s0	500	10000	500	10000	45	46	23
s400	s400	s0	500	10000	500	10000	47	48	24
s400	s400	s0	500	10000	500	10000	49	50	25
s400	s400	s0	500	10000	500	10000	51	52	26
s400	s400	s0	500	10000	500	10000	53	54	27
s400	s400	s0	500	10000	500	10000	55	56	28
s400	s400	s0	500	10000	500	10000	57	58	29
s400	s400	s0	500	10000	500	10000	59	60	30
s400	s400	s0	500	10000	500	10000	61	62	31
s400	s400	s0	500	10000	500	10000	63	64	32
s400	s400	s0	500	10000	500	10000	65	66	33
s400	s400	s0	500	10000	500	10000	67	68	34
s400	s400	s0	500	10000	500	10000	69	70	35
s400	s400	s0	500	10000	500	10000	71	72	36
s400	s400	s0	500	10000	500	10000	73	74	37
s400	s400	s0	500	10000	500	10000	75	76	38
s400	s400	s0	500	10000	500	10000	77	78	39
s400	s400	s0	500	10000	500	10000	79	80	40
s400	s400	s0	500	10000	500	10000	81	82	41
s400	s400	s0	500	10000	500	10000	83	84	42
s400	s400	s0	500	10000	500	10000	85	86	43
s400	s400	s0	500	10000	500	10000	87	88	44
s400	s400	s0	500	10000	500	10000	89	90	45
s400	s400	s0	500	10000	500	10000	91	92	46
s400	s400	s0	500	10000	500	10000	93	94	47
s400	s400	s0	500	10000	500	10000	95	96	48
s400	s400	s0	500	10000	500	10000	97	98	49
s400	s400	s0	500	10000	500	10000	99	100	50
s400	s400	s0	500	10000	500	10000	101	102	51
s400	s400	s0	500	10000	500	10000	103	104	52
s400	s400	s0	500	10000	500	10000	105	106	53
s400	s400	s0	500	10000	500	10000	107	108	54
s400	s400	s0	500	10000	500	10000	109	110	55
s400	s400	s0	500	10000	500	10000	111	112	56
s400	s400	s0	500	10000	500	10000	113	114	57
s400	s400	s0	500	10000	500	10000	115	116	58
s400	s400	s0	500	10000	500	10000	117	118	59
s400	s400	s0	500	10000	500	10000	119	120	60
s400	s400	s0	500	10000	500	10000	121	122	61
s400	s400	s0	500	10000	500	10000	123	124	62
s400	s400	s0	500	10000	500	10000	125	126	63
s400	s400	s0	500	10000	500	10000	127	128	64
s400	s400	s0	500	10000	500	10000	129	130	65
s400	s400	s0	500	10000	500	10000	131	132	66
s400	s400	s0	500	10000	500	10000	133	134	67
s400	s400	s0	500	10000	500	10000	135	136	68
s400	s400	s0	500	10000	500	10000	137	138	69
s400	s400	s0	500	10000	500	10000	139	140	70
s400	s400	s0	500	10000	500	10000	141	142	71
s400	s400	s0	500	10000	500	10000	143	144	72
s400	s400	s0	500	10000	500	10000	145	146	73
s400	s400	s0	500	10000	500	10000	147	148	74
s400	s400	s0	500	10000	500	10000	149	150	75
s400	s400	s0	500	10000	500	10000	151	152	76
s400	s400	s0	500	10000	500	10000	153	154	77
s400	s400	s0	500	10000	500	10000	155	156	78
s400	s400	s0	500	10000	500	10000	157	158	79
s400	s400	s0	500	10000	500	10000	159	160	80
s400	s400	s0	500	10000	500	10000	161	162	81
s400	s400	s0	500	10000	500	10000	163	164	82
s400	s400	s0	500	10000	500	10000	165	166	83
s400	s400	s0	500	10000	500	10000	167	168	84
s400	s400	s0	500	10000	500	10000	169	170	85
s400	s400	s0	500	10000	500	10000	171	172	86
s400	s400	s0	500	10000	500	10000	173	174	87
s400	s400	s0	500	10000	500	10000	175	176	88
s400	s400	s0	500	10000	500	10000	177	178	89
s400	s400	s0	500	10000	500	10000	179	180	90
s400	s400	s0	500	10000	500	10000	181	182	91
s400	s400	s0	500	10000	500	10000	183	184	92
s400	s400	s0	500	10000	500	10000	185	186	93
s400	s400	s0	500	10000	500	10000	187	188	94
s400	s400	s0	500	10000	500	10000	189	190	95
s400	s400	s0	500	10000	500	10000	191	192	96
s400	s400	s0	500	10000	500	10000	193	194	97
s400	s400	s0	500	10000	500	10000	195	196	98
s400	s400	s0	500	10000	500	10000	197	198	99
s400	s400	s0	500	10000	500	10000	199	200	100
s400	s400	s0	500	10000	500	10000	201	202	101
s400	s400	s0	500	10000	500	10000	203	204	102
s400	s400	s0	500	10000	500	10000	205	206	103
s400	s400	s0	500	10000	500	10000	207	208	104
s400	s400	s0	500	10000	500	10000	209	210	105
s400	s400	s0	500	10000	500	10000	211	212	106
s400	s400	s0	500	10000	500	10000	213	214	107
s400	s400	s0	500	10000	500	10000	215	216	108
s400	s400	s0	500	10000	500	10000	217	218	109
s400	s400	s0	500	10000	500	10000	219	220	110
s400	s400	s0	500	10000	500	10000	221	222	111
s400	s400	s0	500	10000	500	10000	223	224	112
s400	s400	s0	500	10000	500	10000	225	226	113
s400	s400	s0	500	10000	500	10000	227	228	114
s400	s400	s0	500	10000	500	10000	229	230	115
s400	s400	s0	500	10000	500	10000	231	232	116
s400	s400	s0	500	10000	500	10000	233	234	117
s400	s400	s0	500	10000	500	10000	235	236	118
s400	s400	s0	500	10000	500	10000	237	238	119
s400	s400	s0	500	10000	500	10000	239	240	120
s400	s400	s0	500	10000	500	10000	241	242	121
s400	s400	s0	500	10000	500	10000	243	244	122
s400	s400	s0	500	10000	500	10000	245	246	123
s400	s400	s0	500	10000	500	10000	247	248	124
s400	s400	s0	500	10000	500	10000	249	250	125
s400	s400	s0	500	10000	500	10000	251	252	126
s400	s400	s0	500	10000	500	10000	253	254	127
s400	s400	s0	500	10000	500	10000	255	256	128
s400	s400	s0	500	10000	500	10000	257	258	129
s400	s400	s0	500	10000	500	10000	259	260	130
s400	s400	s0	500	10000	500	10000	261	262	131
s400	s400	s0	500	10000	500	10000	263	264	132
s400	s400	s0	500	10000	500	10000	265	266	133
s400	s400	s0	500	10000	500	10000	267	268	134
s400	s400	s0	500	10000	500	10000	269	270	135
s400	s400	s0	500	10000	500	10000	271	272	136
s400	s400	s0	500	10000	500	10000	273	274	137
s400	s400	s0	500	10000	500	10000	275	276	138
s400	s400	s0	500	10000	500	10000	277	278	139
s400	s400	s0	500	10000	500	10000	279	280	140
s400	s400	s0	500	10000	500	10000	281	282	141
s400	s400	s0	500	10000	500	10000	283	284	142
s400	s400	s0	500	10000	500	10000	285	286	143
s400	s400	s0	500	10000	500	10000	287	288	144
s400	s400	s0	500	10000	500	10000	289	290	145
s400	s400	s0	500	10000	500	10000	291	292	146
s400	s400	s0	500	10000	500	10000	293	294	147
s400	s400	s0	500	10000	500	10000	295	296	148
s400	s400	s0	500	10000	500	10000	297	298	149
s400	s400	s0	500	10000	500	10000	299	300	150
s400	s400	s0	500	10000	500	10000	301	302	151
s400	s400	s0	500	10000	500	10000	303	304	152
s400	s400	s0	500	10000	500	10000	305	306	153
s400	s400	s0	500	10000	500	10000	307	308	154
s400	s400	s0	500	10000	500	10000	309	310	155
s400	s400	s0	500	10000	500	10000	311	312	156
s400	s400	s0	500	10000	500	10000	313	314	157
s400	s400	s0	500	10000	500	10000	315	316	158
s400	s400	s0	500	10000	500	10000	317	318	159
s400	s400	s0	500	10000	500	10000	319	320	160
s400	s400	s0	500	10000	500	10000	321	322	161
